,money,country,city,response
0,0,Argentina,buenos aires,44.18604651162791
1,0,Argentina,córdoba,48.275862068965516
2,0,Argentina,mar del plata,63.1578947368421
3,0,Argentina,mendoza,45.833333333333336
4,0,Argentina,rosario,50.0
5,0,Argentina,salta,44.44444444444444
6,0,Argentina,san miguel de tucumán,31.818181818181817
7,0,Argentina,santa fe de la cruz,41.1764705882353
355,1,Argentina,buenos aires,52.27272727272727
356,1,Argentina,córdoba,58.62068965517241
357,1,Argentina,mar del plata,52.63157894736842
358,1,Argentina,mendoza,52.17391304347826
359,1,Argentina,rosario,55.55555555555556
360,1,Argentina,salta,50.0
361,1,Argentina,san miguel de tucumán,18.181818181818183
362,1,Argentina,santa fe de la cruz,44.44444444444444
