,money,country,city,response
8,0,Australia,Adelaide,54.54545454545455
9,0,Australia,Brisbane,51.724137931034484
10,0,Australia,Canberra,61.53846153846154
11,0,Australia,Goldcoast,46.666666666666664
12,0,Australia,Melbourne,50.0
13,0,Australia,Newcastle,53.84615384615385
14,0,Australia,Perth,57.69230769230769
15,0,Australia,Sydney,48.78048780487805
363,1,Australia,Adelaide,81.81818181818181
364,1,Australia,Brisbane,75.86206896551724
365,1,Australia,Canberra,83.33333333333333
366,1,Australia,Goldcoast,50.0
367,1,Australia,Melbourne,62.5
368,1,Australia,Newcastle,84.61538461538461
369,1,Australia,Perth,62.96296296296296
370,1,Australia,Sydney,65.85365853658537
