,money,country,city,response
16,0,Brazil,belo horizonte,47.61904761904762
17,0,Brazil,brasilia,57.142857142857146
18,0,Brazil,curitiba,22.22222222222222
19,0,Brazil,fortaleza,38.095238095238095
20,0,Brazil,manaus,38.888888888888886
21,0,Brazil,rio de janeiro,27.272727272727273
22,0,Brazil,salvador,17.391304347826086
23,0,Brazil,sao paulo,31.11111111111111
371,1,Brazil,belo horizonte,55.0
372,1,Brazil,brasilia,50.0
373,1,Brazil,curitiba,44.44444444444444
374,1,Brazil,fortaleza,57.142857142857146
375,1,Brazil,manaus,47.36842105263158
376,1,Brazil,rio de janeiro,51.515151515151516
377,1,Brazil,salvador,36.36363636363637
378,1,Brazil,sao paulo,47.72727272727273
