,money,country,city,response
24,0,Canada,calgary,55.0
25,0,Canada,edmonton,45.0
26,0,Canada,montreal,41.02564102564103
27,0,Canada,ottawa,40.90909090909091
28,0,Canada,quebec,47.61904761904762
29,0,Canada,toronto,48.93617021276596
30,0,Canada,vancouver,48.38709677419355
379,1,Canada,calgary,70.0
380,1,Canada,edmonton,60.0
381,1,Canada,montreal,69.23076923076923
382,1,Canada,ottawa,69.56521739130434
383,1,Canada,quebec,66.66666666666667
384,1,Canada,toronto,51.06382978723404
385,1,Canada,vancouver,66.66666666666667
