,money,country,city,response
31,0,Chile,antofagasta,43.75
32,0,Chile,concepcion,26.08695652173913
33,0,Chile,la serena,37.5
34,0,Chile,rancagua,20.0
35,0,Chile,santiago,38.028169014084504
36,0,Chile,talca,30.76923076923077
37,0,Chile,temuco,31.25
38,0,Chile,valparaiso,42.857142857142854
386,1,Chile,antofagasta,43.75
387,1,Chile,concepcion,45.833333333333336
388,1,Chile,la serena,41.1764705882353
389,1,Chile,rancagua,33.333333333333336
390,1,Chile,santiago,37.142857142857146
391,1,Chile,talca,35.714285714285715
392,1,Chile,temuco,33.333333333333336
393,1,Chile,valparaiso,25.925925925925927
