,money,country,city,response
39,0,China,Beijing,9.67741935483871
40,0,China,Chengdu,4.545454545454546
41,0,China,Guangzhou,0.0
42,0,China,Hangzhou,5.555555555555555
43,0,China,Shanghai,2.857142857142857
44,0,China,Shenzhen,24.0
45,0,China,Tianjin,4.166666666666667
46,0,China,Xi'an,5.0
394,1,China,Beijing,19.35483870967742
395,1,China,Chengdu,9.090909090909092
396,1,China,Guangzhou,28.0
397,1,China,Hangzhou,11.11111111111111
398,1,China,Shanghai,17.142857142857142
399,1,China,Shenzhen,23.076923076923077
400,1,China,Tianjin,39.130434782608695
401,1,China,Xi'an,25.0
