,money,country,city,response
52,0,Czech Republic,Brno,68.42105263157895
53,0,Czech Republic,Liberec,63.1578947368421
54,0,Czech Republic,Olomouc,78.94736842105263
55,0,Czech Republic,Ostrava,69.6969696969697
56,0,Czech Republic,Plzeň,62.5
57,0,Czech Republic,Prague,49.25373134328358
407,1,Czech Republic,Brno,81.08108108108108
408,1,Czech Republic,Liberec,68.42105263157895
409,1,Czech Republic,Olomouc,78.94736842105263
410,1,Czech Republic,Ostrava,75.75757575757575
411,1,Czech Republic,Plzeň,88.0
412,1,Czech Republic,Prague,76.11940298507463
