,money,country,city,response
62,0,France,Angers,58.8235294117647
63,0,France,Bordeaux,40.0
64,0,France,Brest,41.1764705882353
65,0,France,Le Havre,50.0
66,0,France,Lille,71.42857142857143
67,0,France,Lyon,53.333333333333336
68,0,France,Marseille,50.0
69,0,France,Montpellier,38.095238095238095
70,0,France,Nantes,65.21739130434783
71,0,France,Nice,50.0
72,0,France,Paris,52.38095238095238
73,0,France,Rennes,68.42105263157895
74,0,France,Saint-Étienne,61.111111111111114
75,0,France,Strasbourg,36.36363636363637
76,0,France,Toulon,64.70588235294117
77,0,France,Toulouse,62.06896551724138
417,1,France,Angers,62.5
418,1,France,Bordeaux,52.38095238095238
419,1,France,Brest,68.75
420,1,France,Le Havre,57.89473684210526
421,1,France,Lille,70.0
422,1,France,Lyon,65.51724137931035
423,1,France,Marseille,51.282051282051285
424,1,France,Montpellier,54.54545454545455
425,1,France,Nantes,69.56521739130434
426,1,France,Nice,36.0
427,1,France,Paris,50.0
428,1,France,Rennes,60.0
429,1,France,Saint-Étienne,55.55555555555556
430,1,France,Strasbourg,65.21739130434783
431,1,France,Toulon,77.77777777777777
432,1,France,Toulouse,64.28571428571429
