,money,country,city,response
78,0,Germany,Berlin,47.72727272727273
79,0,Germany,Cologne,70.83333333333333
80,0,Germany,Dresden,64.70588235294117
81,0,Germany,Frankfurt,55.0
82,0,Germany,Hamburg,51.61290322580645
83,0,Germany,Leipzig,58.8235294117647
84,0,Germany,Munich,57.142857142857146
85,0,Germany,Stuttgart,42.10526315789474
433,1,Germany,Berlin,63.63636363636363
434,1,Germany,Cologne,66.66666666666667
435,1,Germany,Dresden,47.05882352941177
436,1,Germany,Frankfurt,60.0
437,1,Germany,Hamburg,78.125
438,1,Germany,Leipzig,64.70588235294117
439,1,Germany,Munich,67.85714285714286
440,1,Germany,Stuttgart,61.111111111111114
