,money,country,city,response
97,0,India,ahmedabad,40.0
98,0,India,bangalore,13.793103448275861
99,0,India,coimbatore,58.333333333333336
100,0,India,hyderabad,17.857142857142858
101,0,India,jaipur,20.0
102,0,India,kolkata,20.0
103,0,India,mumbai,23.529411764705884
104,0,India,newdelhi,12.121212121212121
452,1,India,ahmedabad,40.0
453,1,India,bangalore,66.66666666666667
454,1,India,coimbatore,57.142857142857146
455,1,India,hyderabad,28.571428571428573
456,1,India,jaipur,38.46153846153846
457,1,India,kolkata,46.666666666666664
458,1,India,mumbai,34.285714285714285
459,1,India,newdelhi,43.75
