,money,country,city,response
105,0,Indonesia,bandung,34.61538461538461
106,0,Indonesia,batam,17.647058823529413
107,0,Indonesia,jakarta,16.0
108,0,Indonesia,makassar,16.666666666666668
109,0,Indonesia,medan,13.043478260869565
110,0,Indonesia,palembang,5.2631578947368425
111,0,Indonesia,semarang,10.0
112,0,Indonesia,surabaya,18.51851851851852
460,1,Indonesia,bandung,57.69230769230769
461,1,Indonesia,batam,33.333333333333336
462,1,Indonesia,jakarta,30.0
463,1,Indonesia,makassar,27.77777777777778
464,1,Indonesia,medan,34.78260869565217
465,1,Indonesia,palembang,22.22222222222222
466,1,Indonesia,semarang,30.0
467,1,Indonesia,surabaya,25.925925925925927
