,money,country,city,response
119,0,Italy,Bari,50.0
120,0,Italy,Bologna,40.0
121,0,Italy,Catania,11.11111111111111
122,0,Italy,Firenze,60.0
123,0,Italy,Genova,35.714285714285715
124,0,Italy,Messina,0.0
125,0,Italy,Milano,35.0
126,0,Italy,Napoli,33.333333333333336
127,0,Italy,Padova,62.5
128,0,Italy,Palermo,42.857142857142854
129,0,Italy,Roma,21.428571428571427
130,0,Italy,Taranto,50.0
131,0,Italy,Torino,58.8235294117647
132,0,Italy,Trieste,25.0
133,0,Italy,Venezia,11.11111111111111
134,0,Italy,Verona,50.0
474,1,Italy,Bari,44.44444444444444
475,1,Italy,Bologna,45.45454545454545
476,1,Italy,Catania,50.0
477,1,Italy,Firenze,63.63636363636363
478,1,Italy,Genova,35.714285714285715
479,1,Italy,Messina,33.333333333333336
480,1,Italy,Milano,50.0
481,1,Italy,Napoli,29.41176470588235
482,1,Italy,Padova,50.0
483,1,Italy,Palermo,42.857142857142854
484,1,Italy,Roma,42.857142857142854
485,1,Italy,Taranto,50.0
486,1,Italy,Torino,31.25
487,1,Italy,Trieste,71.42857142857143
488,1,Italy,Venezia,100.0
489,1,Italy,Verona,66.66666666666667
