,money,country,city,response
135,0,Kazakhstan,almaty,11.904761904761905
136,0,Kazakhstan,astana,30.434782608695652
137,0,Kazakhstan,karagandy,16.666666666666668
138,0,Kazakhstan,oskemen,4.761904761904762
139,0,Kazakhstan,pavlodar,19.047619047619047
140,0,Kazakhstan,semey,5.0
141,0,Kazakhstan,shymkent,16.0
142,0,Kazakhstan,taraz,8.695652173913043
490,1,Kazakhstan,almaty,14.285714285714286
491,1,Kazakhstan,astana,18.181818181818183
492,1,Kazakhstan,karagandy,28.0
493,1,Kazakhstan,oskemen,9.090909090909092
494,1,Kazakhstan,pavlodar,27.272727272727273
495,1,Kazakhstan,semey,28.571428571428573
496,1,Kazakhstan,shymkent,29.166666666666668
497,1,Kazakhstan,taraz,17.391304347826086
