,money,country,city,response
149,0,Malaysia,george town,18.181818181818183
150,0,Malaysia,ipoh,23.076923076923077
151,0,Malaysia,johor bahru,13.636363636363637
152,0,Malaysia,kota kinabalu,9.523809523809524
153,0,Malaysia,kuala lumpur,21.05263157894737
154,0,Malaysia,melaka,19.047619047619047
155,0,Malaysia,petaling jaya,16.0
156,0,Malaysia,shah alam,4.0
504,1,Malaysia,george town,31.818181818181817
505,1,Malaysia,ipoh,30.76923076923077
506,1,Malaysia,johor bahru,18.181818181818183
507,1,Malaysia,kota kinabalu,23.80952380952381
508,1,Malaysia,kuala lumpur,27.027027027027028
509,1,Malaysia,melaka,27.272727272727273
510,1,Malaysia,petaling jaya,12.0
511,1,Malaysia,shah alam,8.0
