,money,country,city,response
157,0,Mexico,chihuahua,27.77777777777778
158,0,Mexico,guadalajara,31.818181818181817
159,0,Mexico,leon,19.047619047619047
160,0,Mexico,merida,17.647058823529413
161,0,Mexico,mexico city,19.29824561403509
162,0,Mexico,monterrey,40.0
163,0,Mexico,puebla,26.08695652173913
164,0,Mexico,tijuana,18.181818181818183
512,1,Mexico,chihuahua,35.294117647058826
513,1,Mexico,guadalajara,8.333333333333334
514,1,Mexico,leon,45.45454545454545
515,1,Mexico,merida,29.41176470588235
516,1,Mexico,mexico city,7.142857142857143
517,1,Mexico,monterrey,15.0
518,1,Mexico,puebla,13.043478260869565
519,1,Mexico,tijuana,14.285714285714286
