,money,country,city,response
165,0,Morocco,Agadir,20.0
166,0,Morocco,Casablanca,6.818181818181818
167,0,Morocco,Fes,11.538461538461538
168,0,Morocco,Kenitra,0.0
169,0,Morocco,Marrakesh,8.695652173913043
170,0,Morocco,Meknès,15.0
171,0,Morocco,Rabat,13.333333333333334
172,0,Morocco,Tangier,16.666666666666668
173,0,Morocco,Tetouan,37.5
520,1,Morocco,Agadir,0.0
521,1,Morocco,Casablanca,19.565217391304348
522,1,Morocco,Fes,7.6923076923076925
523,1,Morocco,Kenitra,28.571428571428573
524,1,Morocco,Marrakesh,20.833333333333332
525,1,Morocco,Meknès,21.05263157894737
526,1,Morocco,Rabat,40.0
527,1,Morocco,Tangier,16.666666666666668
528,1,Morocco,Tetouan,31.25
