,money,country,city,response
174,0,Netherlands,Amsterdam,61.904761904761905
175,0,Netherlands,Eindhoven,76.19047619047619
176,0,Netherlands,Groningen,76.19047619047619
177,0,Netherlands,Rotterdam,69.44444444444444
178,0,Netherlands,The Hague,63.63636363636363
179,0,Netherlands,Tilburg,71.42857142857143
180,0,Netherlands,Utrecht,69.23076923076923
529,1,Netherlands,Amsterdam,65.85365853658537
530,1,Netherlands,Eindhoven,77.27272727272727
531,1,Netherlands,Groningen,70.0
532,1,Netherlands,Rotterdam,83.33333333333333
533,1,Netherlands,The Hague,60.60606060606061
534,1,Netherlands,Tilburg,90.47619047619048
535,1,Netherlands,Utrecht,77.77777777777777
