,money,country,city,response
181,0,New Zealand,Auckland,51.666666666666664
182,0,New Zealand,Christchurch,61.29032258064516
183,0,New Zealand,Dunedin,61.111111111111114
184,0,New Zealand,Hamilton,56.52173913043478
185,0,New Zealand,Napier,83.33333333333333
186,0,New Zealand,Tauranga,77.77777777777777
187,0,New Zealand,Wellington,62.5
536,1,New Zealand,Auckland,73.33333333333333
537,1,New Zealand,Christchurch,83.87096774193549
538,1,New Zealand,Dunedin,94.11764705882354
539,1,New Zealand,Hamilton,87.5
540,1,New Zealand,Napier,83.33333333333333
541,1,New Zealand,Tauranga,88.88888888888889
542,1,New Zealand,Wellington,68.75
