,money,country,city,response
200,0,Poland,Bialystok,66.66666666666667
201,0,Poland,Bydgoszcz,77.77777777777777
202,0,Poland,Bytom,71.42857142857143
203,0,Poland,Czestochowa,87.5
204,0,Poland,Gdansk,81.81818181818181
205,0,Poland,Gdynia,62.5
206,0,Poland,Gliwice,71.42857142857143
207,0,Poland,Katowice,55.55555555555556
208,0,Poland,Kielce,62.5
209,0,Poland,Krakow,78.57142857142857
210,0,Poland,Lodz,42.857142857142854
211,0,Poland,Lublin,55.55555555555556
212,0,Poland,Opole,57.142857142857146
213,0,Poland,Poznan,83.33333333333333
214,0,Poland,Radom,62.5
215,0,Poland,Sosnowiec,37.5
216,0,Poland,Szczecin,81.81818181818181
217,0,Poland,Torun,62.5
218,0,Poland,Warsaw,57.142857142857146
219,0,Poland,Wroclaw,58.333333333333336
555,1,Poland,Bialystok,50.0
556,1,Poland,Bydgoszcz,75.0
557,1,Poland,Bytom,71.42857142857143
558,1,Poland,Czestochowa,66.66666666666667
559,1,Poland,Gdansk,59.09090909090909
560,1,Poland,Gdynia,70.58823529411765
561,1,Poland,Gliwice,64.28571428571429
562,1,Poland,Katowice,50.0
563,1,Poland,Kielce,57.142857142857146
564,1,Poland,Krakow,58.62068965517241
565,1,Poland,Lodz,53.57142857142857
566,1,Poland,Lublin,70.0
567,1,Poland,Opole,64.28571428571429
568,1,Poland,Poznan,66.66666666666667
569,1,Poland,Radom,75.0
570,1,Poland,Sosnowiec,60.0
571,1,Poland,Szczecin,75.0
572,1,Poland,Torun,64.28571428571429
573,1,Poland,Warsaw,69.04761904761905
574,1,Poland,Wroclaw,65.38461538461539
710,2,Poland,Bialystok,87.5
711,2,Poland,Bydgoszcz,77.77777777777777
712,2,Poland,Bytom,85.71428571428571
713,2,Poland,Czestochowa,75.0
714,2,Poland,Gdansk,90.9090909090909
715,2,Poland,Gdynia,100.0
716,2,Poland,Gliwice,100.0
717,2,Poland,Katowice,66.66666666666667
718,2,Poland,Kielce,57.142857142857146
719,2,Poland,Krakow,73.33333333333333
720,2,Poland,Lodz,57.142857142857146
721,2,Poland,Lublin,80.0
722,2,Poland,Opole,75.0
723,2,Poland,Poznan,100.0
724,2,Poland,Radom,85.71428571428571
725,2,Poland,Sosnowiec,50.0
726,2,Poland,Szczecin,80.0
727,2,Poland,Torun,62.5
728,2,Poland,Warsaw,66.66666666666667
729,2,Poland,Wroclaw,84.61538461538461
