,money,country,city,response
226,0,Romania,Brasov,45.45454545454545
227,0,Romania,Bucharest,44.067796610169495
228,0,Romania,Cluj-Napoca,65.38461538461539
229,0,Romania,Constanta,34.78260869565217
230,0,Romania,Galati,45.45454545454545
231,0,Romania,Iasi,43.47826086956522
232,0,Romania,Timisoara,64.0
581,1,Romania,Brasov,81.81818181818181
582,1,Romania,Bucharest,55.932203389830505
583,1,Romania,Cluj-Napoca,76.0
584,1,Romania,Constanta,39.130434782608695
585,1,Romania,Galati,54.54545454545455
586,1,Romania,Iasi,58.333333333333336
587,1,Romania,Timisoara,68.0
