,money,country,city,response
233,0,Russia,Kazan,42.857142857142854
234,0,Russia,Moscow,43.47826086956522
235,0,Russia,Nizhny Novgorod,60.0
236,0,Russia,Novosibirsk,37.5
237,0,Russia,Omsk,40.0
238,0,Russia,St.Petersburg,58.62068965517241
239,0,Russia,Yekaterinenburg,62.5
588,1,Russia,Kazan,73.33333333333333
589,1,Russia,Moscow,55.55555555555556
590,1,Russia,Nizhny Novgorod,73.33333333333333
591,1,Russia,Novosibirsk,50.0
592,1,Russia,Omsk,53.333333333333336
593,1,Russia,St.Petersburg,60.0
594,1,Russia,Yekaterinenburg,53.333333333333336
