,money,country,city,response
245,0,South Africa,bloemfontein,36.8421052631579
246,0,South Africa,cape town,44.0
247,0,South Africa,durban,27.586206896551722
248,0,South Africa,east london,26.31578947368421
249,0,South Africa,johannesburg,21.62162162162162
250,0,South Africa,pietermaritzburg,38.888888888888886
251,0,South Africa,port elizabeth,28.571428571428573
252,0,South Africa,pretoria,18.75
600,1,South Africa,bloemfontein,36.8421052631579
601,1,South Africa,cape town,54.166666666666664
602,1,South Africa,durban,51.724137931034484
603,1,South Africa,east london,45.0
604,1,South Africa,johannesburg,18.91891891891892
605,1,South Africa,pietermaritzburg,29.41176470588235
606,1,South Africa,port elizabeth,50.0
607,1,South Africa,pretoria,33.333333333333336
