,money,country,city,response
268,0,Sweden,Göteborg,64.70588235294117
269,0,Sweden,Helsingborg,64.28571428571429
270,0,Sweden,Jönköping,57.142857142857146
271,0,Sweden,Linköping,66.66666666666667
272,0,Sweden,Lund,85.71428571428571
273,0,Sweden,Malmö,62.5
274,0,Sweden,Norrköping,84.61538461538461
275,0,Sweden,Stockholm,57.407407407407405
276,0,Sweden,Uppsala,88.88888888888889
623,1,Sweden,Göteborg,76.47058823529412
624,1,Sweden,Helsingborg,86.66666666666667
625,1,Sweden,Jönköping,84.61538461538461
626,1,Sweden,Linköping,93.33333333333333
627,1,Sweden,Lund,84.61538461538461
628,1,Sweden,Malmö,88.0
629,1,Sweden,Norrköping,85.71428571428571
630,1,Sweden,Stockholm,74.07407407407408
631,1,Sweden,Uppsala,82.3529411764706
