,money,country,city,response
277,0,Switzerland,Basel,80.76923076923077
278,0,Switzerland,Bern,73.91304347826087
279,0,Switzerland,Geneva,62.06896551724138
280,0,Switzerland,Lausanne,73.91304347826087
281,0,Switzerland,Lucerne,72.22222222222223
282,0,Switzerland,St. Gallen,77.77777777777777
283,0,Switzerland,Winterthur,76.19047619047619
284,0,Switzerland,Zurich,75.60975609756098
632,1,Switzerland,Basel,80.76923076923077
633,1,Switzerland,Bern,87.5
634,1,Switzerland,Geneva,53.57142857142857
635,1,Switzerland,Lausanne,75.0
636,1,Switzerland,Lucerne,78.94736842105263
637,1,Switzerland,St. Gallen,88.88888888888889
638,1,Switzerland,Winterthur,85.71428571428571
639,1,Switzerland,Zurich,85.0
