,money,country,city,response
285,0,Thailand,bangkok,25.263157894736842
286,0,Thailand,chiang mai,29.41176470588235
287,0,Thailand,hat yai,31.25
288,0,Thailand,khon kaen,26.666666666666668
289,0,Thailand,nakhon ratchasima,12.5
290,0,Thailand,nakhon si thammarat,7.6923076923076925
291,0,Thailand,ubon ratchathani,15.384615384615385
292,0,Thailand,udon thani,33.333333333333336
640,1,Thailand,bangkok,46.31578947368421
641,1,Thailand,chiang mai,25.0
642,1,Thailand,hat yai,37.5
643,1,Thailand,khon kaen,42.857142857142854
644,1,Thailand,nakhon ratchasima,29.41176470588235
645,1,Thailand,nakhon si thammarat,30.76923076923077
646,1,Thailand,ubon ratchathani,46.15384615384615
647,1,Thailand,udon thani,31.25
