,money,country,city,response
293,0,Turkey,Adana,23.80952380952381
294,0,Turkey,Ankara,5.714285714285714
295,0,Turkey,Antalya,12.5
296,0,Turkey,Gaziantep,10.0
297,0,Turkey,Istanbul,26.666666666666668
298,0,Turkey,Izmir,32.25806451612903
299,0,Turkey,Konya,17.647058823529413
648,1,Turkey,Adana,28.571428571428573
649,1,Turkey,Ankara,42.857142857142854
650,1,Turkey,Antalya,41.1764705882353
651,1,Turkey,Gaziantep,26.31578947368421
652,1,Turkey,Istanbul,45.90163934426229
653,1,Turkey,Izmir,50.0
654,1,Turkey,Konya,41.1764705882353
