,money,country,city,response
300,0,UAE,abu dhabi,27.906976744186046
301,0,UAE,ajman,11.764705882352942
302,0,UAE,al ain,7.6923076923076925
303,0,UAE,dubai,13.461538461538462
304,0,UAE,fujairah,0.0
305,0,UAE,ras al khaimah,11.11111111111111
306,0,UAE,sharjah,23.333333333333332
655,1,UAE,abu dhabi,38.63636363636363
656,1,UAE,ajman,50.0
657,1,UAE,al ain,44.0
658,1,UAE,dubai,27.45098039215686
659,1,UAE,fujairah,28.571428571428573
660,1,UAE,ras al khaimah,22.22222222222222
661,1,UAE,sharjah,36.666666666666664
