,money,country,city,response
330,0,USA,Albuquerque,33.333333333333336
331,0,USA,Boston,33.333333333333336
332,0,USA,Charlotte,55.55555555555556
333,0,USA,Chicago,47.61904761904762
334,0,USA,Columbus,33.333333333333336
335,0,USA,Denver,55.55555555555556
336,0,USA,Houston,33.333333333333336
337,0,USA,Indianapolis,72.72727272727273
338,0,USA,Jacksonville,33.333333333333336
339,0,USA,Las Vegas,25.0
340,0,USA,Los Angeles,21.73913043478261
341,0,USA,Louisville,11.11111111111111
342,0,USA,Memphis,44.44444444444444
343,0,USA,Milwaukee,28.571428571428573
344,0,USA,Nashville,55.55555555555556
345,0,USA,New York,30.303030303030305
346,0,USA,Oklahoma City,44.44444444444444
347,0,USA,Philadelphia,26.666666666666668
348,0,USA,Phoenix,33.333333333333336
349,0,USA,Portland,50.0
350,0,USA,San Antonio,50.0
351,0,USA,San Diego,50.0
352,0,USA,Seattle,33.333333333333336
353,0,USA,Tucson,44.44444444444444
354,0,USA,"Washington, D.C.",55.55555555555556
685,1,USA,Albuquerque,53.333333333333336
686,1,USA,Boston,60.0
687,1,USA,Charlotte,68.75
688,1,USA,Chicago,50.0
689,1,USA,Columbus,40.0
690,1,USA,Denver,73.33333333333333
691,1,USA,Houston,62.96296296296296
692,1,USA,Indianapolis,66.66666666666667
693,1,USA,Jacksonville,58.8235294117647
694,1,USA,Las Vegas,33.333333333333336
695,1,USA,Los Angeles,45.945945945945944
696,1,USA,Louisville,66.66666666666667
697,1,USA,Memphis,66.66666666666667
698,1,USA,Milwaukee,66.66666666666667
699,1,USA,Nashville,60.0
700,1,USA,New York,41.81818181818182
701,1,USA,Oklahoma City,26.666666666666668
702,1,USA,Philadelphia,54.166666666666664
703,1,USA,Phoenix,77.27272727272727
704,1,USA,Portland,73.33333333333333
705,1,USA,San Antonio,52.17391304347826
706,1,USA,San Diego,65.21739130434783
707,1,USA,Seattle,80.0
708,1,USA,Tucson,46.15384615384615
709,1,USA,"Washington, D.C.",53.333333333333336
753,2,USA,Albuquerque,66.66666666666667
754,2,USA,Boston,50.0
755,2,USA,Charlotte,75.0
756,2,USA,Chicago,50.0
757,2,USA,Columbus,50.0
758,2,USA,Denver,83.33333333333333
759,2,USA,Houston,40.0
760,2,USA,Indianapolis,83.33333333333333
761,2,USA,Jacksonville,33.333333333333336
762,2,USA,Las Vegas,33.333333333333336
763,2,USA,Los Angeles,46.666666666666664
764,2,USA,Louisville,100.0
765,2,USA,Memphis,66.66666666666667
766,2,USA,Milwaukee,83.33333333333333
767,2,USA,Nashville,83.33333333333333
768,2,USA,New York,72.72727272727273
769,2,USA,Oklahoma City,50.0
770,2,USA,Philadelphia,62.5
771,2,USA,Phoenix,100.0
772,2,USA,Portland,100.0
773,2,USA,San Antonio,60.0
774,2,USA,San Diego,66.66666666666667
775,2,USA,Seattle,66.66666666666667
776,2,USA,Tucson,80.0
777,2,USA,"Washington, D.C.",66.66666666666667
