id,age,age40,category,city,country,institutions,male,money,response
101023,3,0,5,Split,Croatia,4,1,1,100
101020,2,0,1,Split,Croatia,0,0,1,100
101026,3,0,3,Split,Croatia,2,0,0,100
101045,3,0,3,Split,Croatia,2,0,1,100
101056,3,0,4,Split,Croatia,3,0,1,0
101046,2,0,5,Split,Croatia,4,0,0,0
101004,2,0,3,Split,Croatia,2,0,1,100
101055,2,0,1,Split,Croatia,0,0,1,100
101013,5,1,2,Split,Croatia,1,1,1,100
101047,4,1,4,Split,Croatia,3,0,1,100
101014,2,0,5,Split,Croatia,4,0,1,100
101002,5,1,5,Split,Croatia,4,1,0,100
101052,5,1,4,Split,Croatia,3,0,1,100
101003,6,1,1,Split,Croatia,0,1,0,0
101009,2,0,3,Split,Croatia,2,1,1,100
101054,4,1,4,Split,Croatia,3,0,1,0
101029,3,0,3,Split,Croatia,2,1,0,100
101006,5,1,2,Split,Croatia,1,0,0,100
101025,4,1,5,Split,Croatia,4,1,1,100
101007,2,0,3,Split,Croatia,2,0,1,100
101011,5,1,5,Split,Croatia,4,1,0,100
101019,4,1,2,Split,Croatia,1,0,1,100
101016,4,1,1,Split,Croatia,0,0,1,100
101053,3,0,4,Split,Croatia,3,0,0,0
101038,5,1,2,Split,Croatia,1,0,1,100
101030,4,1,4,Split,Croatia,3,0,0,0
101027,2,0,1,Split,Croatia,0,0,1,100
101040,5,1,2,Split,Croatia,1,1,0,100
101036,5,1,3,Split,Croatia,2,0,1,100
101005,2,0,1,Split,Croatia,0,0,1,0
101031,2,0,2,Split,Croatia,1,0,0,100
101033,6,1,2,Split,Croatia,1,0,1,100
101018,5,1,1,Split,Croatia,0,1,0,100
101048,4,1,4,Split,Croatia,3,0,0,0
101042,4,1,1,Split,Croatia,0,0,0,100
101051,4,1,4,Split,Croatia,3,0,1,100
101044,4,1,5,Split,Croatia,4,1,1,100
101008,2,0,3,Split,Croatia,2,0,0,100
101022,6,1,5,Split,Croatia,4,1,1,100
101024,5,1,1,Split,Croatia,0,1,0,100
101001,2,0,3,Split,Croatia,2,1,0,100
101012,2,0,3,Split,Croatia,2,0,0,100
101010,3,0,4,Split,Croatia,3,0,0,0
101015,4,1,4,Split,Croatia,3,0,1,100
101039,4,1,1,Split,Croatia,0,0,0,100
101050,4,1,4,Split,Croatia,3,0,0,0
101017,3,0,1,Split,Croatia,0,0,1,100
101043,3,0,5,Split,Croatia,4,0,0,0
101032,2,0,3,Split,Croatia,2,0,0,0
101028,4,1,2,Split,Croatia,1,0,0,100
101034,5,1,2,Split,Croatia,1,1,1,100
101037,5,1,2,Split,Croatia,1,1,0,100
101041,4,1,4,Split,Croatia,3,0,0,0
101035,5,1,2,Split,Croatia,1,0,1,0
101049,3,0,5,Split,Croatia,4,1,0,100
101021,4,1,1,Split,Croatia,0,0,0,0
102003,5,1,5,Zadar,Croatia,4,1,0,100
102020,4,1,5,Zadar,Croatia,4,0,1,100
102034,3,0,3,Zadar,Croatia,2,0,0,100
102001,2,0,3,Zadar,Croatia,2,0,1,0
102027,6,1,5,Zadar,Croatia,4,1,1,100
102005,4,1,4,Zadar,Croatia,3,0,0,0
102033,3,0,5,Zadar,Croatia,4,1,0,0
102006,3,0,5,Zadar,Croatia,4,0,1,100
